#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0,0,0,0,0
5,4.002,0,0,0,0
10,9.00901,0,0,0,0
15,14.021,0,0,0.12018,0
20,19.0381,0,0,0.490982,0
25,24.0602,0,0,1.93484,0
30,29.0873,0,0,3.77131,0
35,34.1194,0,0,6.85399,0
40,39.1566,0,0,9.98996,0
45,44.1989,0,0,14.4852,0
50,49.2462,0,0,20.2111,0
55,54.2986,0,0,25.9829,0
60,59.3561,0,0,32.1529,0
65,64.4187,0,0,38.6915,0
70,69.4864,0,0,46.6767,0
75,74.5592,0,0,54.1763,0
80,79.6371,0,0,63.2258,0
85,84.7201,0,0,70.7413,0
90,89.8083,0,0,80.666,0
95,94.9016,0,0,90.1969,0
100,100,100,100,100,100
