#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0,0,0,0,0
5,22.1211,4.88244,4.94247,5.0025,4.91246
10,35.1351,10.1001,10.1602,10.1401,10.1802
15,44.2964,14.8723,14.8022,14.7621,14.8623
20,51.6388,19.7454,19.8958,19.9459,19.8657
25,57.7976,24.9724,24.832,24.7819,24.7418
30,63.0808,29.6136,29.7642,29.5534,29.6136
35,67.6843,34.6455,34.4949,35.2983,34.6556
40,71.8822,40.0462,39.393,40.4281,39.6543
45,75.7542,44.8109,44.5495,44.9316,44.8512
50,79.2493,49.7937,49.9145,50.2164,49.9145
55,82.3008,54.6691,54.7497,54.9914,54.7094
60,85.1216,59.6952,59.8264,60.4017,60.22
65,87.7477,65.2345,65.1941,64.4763,64.7594
70,90.1225,70.256,70.1144,70.3674,70.3775
75,92.2866,75.3578,74.9822,74.9822,74.8807
80,94.1936,80.4047,79.6624,80.5674,80.2725
85,95.9477,85.1587,85.0873,85.6997,85.0158
90,97.51,90.2039,89.7838,90.4191,90.1322
95,98.9026,94.9581,94.6578,95.072,95.1548
100,100,100,100,100,100
